Name of Restaurant,City,Country Code,Day of week,Start Time,End Time
1 Abercrombie Lane,Sydney,AU,4,0730,1530
1 Abercrombie Lane,Sydney,AU,3,0730,1530
1 Abercrombie Lane,Sydney,AU,2,0730,1530
1 Abercrombie Lane,Sydney,AU,1,0730,1530
1 Abercrombie Lane,Sydney,AU,0,0730,1530
#1 Chicken Rice & Seafood,Houston,US,5,1030,2000
#1 Chicken Rice & Seafood,Houston,US,4,1030,2030
#1 Chicken Rice & Seafood,Houston,US,3,1030,2030
#1 Chicken Rice & Seafood,Houston,US,2,1030,2030
#1 Chicken Rice & Seafood,Houston,US,1,1030,2030
#1 Chicken Rice & Seafood,Houston,US,0,1030,2030
#1 Chinese Kitchen,San Jose,US,6,1100,2100
#1 Chinese Kitchen,San Jose,US,5,1100,2100
#1 Chinese Kitchen,San Jose,US,4,1100,2100
#1 Chinese Kitchen,San Jose,US,3,1100,2100
#1 Chinese Kitchen,San Jose,US,2,1100,2100
#1 Chinese Kitchen,San Jose,US,0,1100,2100
10' Custom Pizzeria,Braddon,AU,6,1730,0000
10' Custom Pizzeria,Braddon,AU,6,1130,1500
10' Custom Pizzeria,Braddon,AU,5,1730,0000
10' Custom Pizzeria,Braddon,AU,5,1130,1500
10' Custom Pizzeria,Braddon,AU,4,1730,0000
10' Custom Pizzeria,Braddon,AU,4,1130,1500
10' Custom Pizzeria,Braddon,AU,3,1730,0000
10' Custom Pizzeria,Braddon,AU,3,1130,1500
10' Custom Pizzeria,Braddon,AU,2,1730,0000
10' Custom Pizzeria,Braddon,AU,2,1130,1500
10' Custom Pizzeria,Braddon,AU,1,1730,0000
10' Custom Pizzeria,Braddon,AU,1,1130,1500
10' Custom Pizzeria,Braddon,AU,0,1730,0000
10' Custom Pizzeria,Braddon,AU,0,1130,1500
10 Greek Street,London,GB,6,1730,2300
10 Greek Street,London,GB,5,1200,2330
10 Greek Street,London,GB,4,1200,2330
10 Greek Street,London,GB,3,1200,2330
10 Greek Street,London,GB,2,1200,2330
10 Greek Street,London,GB,1,1200,2330
10 Greek Street,London,GB,0,1200,2330
100% de Agave,Denver,US,6,1100,2200
100% de Agave,Denver,US,5,1100,2300
100% de Agave,Denver,US,4,1100,2300
100% de Agave,Denver,US,3,1100,2200
100% de Agave,Denver,US,2,1100,2200
100% de Agave,Denver,US,1,1100,2200
100% de Agave,Denver,US,0,1100,2200
100 Hoxton,London,GB,6,1100,0000
100 Hoxton,London,GB,5,1100,0000
100 Hoxton,London,GB,4,1100,0000
100 Hoxton,London,GB,3,1100,0000
100 Hoxton,London,GB,2,1100,0000
100 Hoxton,London,GB,1,1100,0000
11 Inch Pizza,Melbourne,AU,6,1630,2130
11 Inch Pizza,Melbourne,AU,5,1630,2130
11 Inch Pizza,Melbourne,AU,4,1100,2130
11 Inch Pizza,Melbourne,AU,3,1100,2130
11 Inch Pizza,Melbourne,AU,2,1100,2130
11 Inch Pizza,Melbourne,AU,1,1100,2130
11 Inch Pizza,Melbourne,AU,0,1100,2130
111 by Nico,Glasgow,GB,6,1200,2100
111 by Nico,Glasgow,GB,5,1200,2200
111 by Nico,Glasgow,GB,4,1700,2200
111 by Nico,Glasgow,GB,4,1200,1430
111 by Nico,Glasgow,GB,3,1700,2200
111 by Nico,Glasgow,GB,3,1200,1430
111 by Nico,Glasgow,GB,2,1700,2200
111 by Nico,Glasgow,GB,2,1200,1430
111 by Nico,Glasgow,GB,1,1700,2200
111 by Nico,Glasgow,GB,1,1200,1430
127 Bar and Bistro,Brisbane,AU,6,0700,1100
127 Bar and Bistro,Brisbane,AU,5,1500,2100
127 Bar and Bistro,Brisbane,AU,5,0700,1100
127 Bar and Bistro,Brisbane,AU,4,0630,2100
127 Bar and Bistro,Brisbane,AU,3,0630,2100
127 Bar and Bistro,Brisbane,AU,2,0630,2100
127 Bar and Bistro,Brisbane,AU,1,0630,2100
127 Bar and Bistro,Brisbane,AU,0,0630,2100
13 North Grille,Phoenix,US,6,0830,2100
13 North Grille,Phoenix,US,5,0830,2200
13 North Grille,Phoenix,US,4,1100,2200
13 North Grille,Phoenix,US,3,1100,2100
13 North Grille,Phoenix,US,2,1100,2100
13 North Grille,Phoenix,US,1,1100,2100
13 North Grille,Phoenix,US,0,1100,2100
13th Note,Glasgow,GB,6,1200,0000
13th Note,Glasgow,GB,5,1200,0000
13th Note,Glasgow,GB,4,1200,0000
13th Note,Glasgow,GB,3,1200,0000
13th Note,Glasgow,GB,2,1200,0000
13th Note,Glasgow,GB,1,1200,0000
13th Note,Glasgow,GB,0,1200,0000
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,6,0800,2200
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,5,0800,2200
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,4,0800,2200
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,3,0800,2200
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,2,0800,2200
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,1,0800,2200
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,0,0800,2200
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,6,0730,1930
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,5,0730,1930
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,4,0730,1930
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,3,0730,1930
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,2,0730,1930
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,1,0730,1930
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,0,0730,1930
1760,San Francisco,US,6,1700,2200
1760,San Francisco,US,6,1100,1430
1760,San Francisco,US,5,1700,2300
1760,San Francisco,US,5,1100,1430
1760,San Francisco,US,4,1700,2300
1760,San Francisco,US,3,1700,2200
1760,San Francisco,US,2,1700,2200
1760,San Francisco,US,1,1700,2200
1760,San Francisco,US,0,1700,2200
1806,Melbourne,AU,6,1800,0100
1806,Melbourne,AU,5,1700,0300
1806,Melbourne,AU,4,1600,0100
1806,Melbourne,AU,3,1700,0100
1806,Melbourne,AU,2,1700,0100
1806,Melbourne,AU,1,1700,0100
1806,Melbourne,AU,0,1700,0100
1907 Restaurant,Perth,AU,5,1800,0000
1907 Restaurant,Perth,AU,5,1100,1500
1907 Restaurant,Perth,AU,4,1800,0000
1907 Restaurant,Perth,AU,4,1100,1500
1907 Restaurant,Perth,AU,3,1800,0000
1907 Restaurant,Perth,AU,3,1100,1500
1907 Restaurant,Perth,AU,2,1800,0000
1907 Restaurant,Perth,AU,2,1100,1500
1907 Restaurant,Perth,AU,1,1800,0000
1907 Restaurant,Perth,AU,1,1100,1500
1912 Dining Bar,Sydney,AU,5,1600,0000
1912 Dining Bar,Sydney,AU,4,1600,0000
1912 Dining Bar,Sydney,AU,3,1600,0000
1912 Dining Bar,Sydney,AU,2,1600,0000
1912 Dining Bar,Sydney,AU,1,1600,0000
1912 Dining Bar,Sydney,AU,0,1600,0000
1917 American Bistro,Detroit,US,6,1000,2000
1917 American Bistro,Detroit,US,5,1000,2300
1917 American Bistro,Detroit,US,4,1000,2300
1917 American Bistro,Detroit,US,3,1000,2300
1917 American Bistro,Detroit,US,2,1000,2300
1917 American Bistro,Detroit,US,1,1000,2300
1917 American Bistro,Detroit,US,0,1000,2300
2 Amys Neapolitan Pizzeria,Washington,US,6,1200,2200
2 Amys Neapolitan Pizzeria,Washington,US,5,1100,2300
2 Amys Neapolitan Pizzeria,Washington,US,4,1100,2300
2 Amys Neapolitan Pizzeria,Washington,US,3,1100,2200
2 Amys Neapolitan Pizzeria,Washington,US,2,1100,2200
2 Amys Neapolitan Pizzeria,Washington,US,1,1100,2200
2 Amys Neapolitan Pizzeria,Washington,US,0,1700,2200
20 Spot,San Francisco,US,5,1700,0100
20 Spot,San Francisco,US,4,1700,0100
20 Spot,San Francisco,US,3,1700,0100
20 Spot,San Francisco,US,2,1700,0100
20 Spot,San Francisco,US,1,1700,0100
20 Spot,San Francisco,US,0,1700,0100
204 North Kitchen & Cocktails,Charlotte,US,6,1100,0000
204 North Kitchen & Cocktails,Charlotte,US,5,1100,0200
204 North Kitchen & Cocktails,Charlotte,US,4,1100,0200
204 North Kitchen & Cocktails,Charlotte,US,3,1100,0200
204 North Kitchen & Cocktails,Charlotte,US,2,1100,0200
204 North Kitchen & Cocktails,Charlotte,US,1,1100,0000
204 North Kitchen & Cocktails,Charlotte,US,0,1100,0000
20th Street Café,Denver,US,6,0700,1330
20th Street Café,Denver,US,5,0700,1330
20th Street Café,Denver,US,4,0630,1430
20th Street Café,Denver,US,3,0630,1430
20th Street Café,Denver,US,2,0630,1430
20th Street Café,Denver,US,1,0630,1430
21 Shanghai House,New York,US,6,1100,2130
21 Shanghai House,New York,US,5,1100,2200
21 Shanghai House,New York,US,4,1100,2200
21 Shanghai House,New York,US,3,1100,2130
21 Shanghai House,New York,US,2,1100,2130
21 Shanghai House,New York,US,1,1100,2130
21 Shanghai House,New York,US,0,1100,2130
24grille,Detroit,US,6,1100,2200
24grille,Detroit,US,5,1100,0200
24grille,Detroit,US,4,1100,0200
24grille,Detroit,US,3,1100,0000
24grille,Detroit,US,2,1100,0000
24grille,Detroit,US,1,1100,0000
24grille,Detroit,US,0,1100,0000
259 Cafe,Perth,AU,6,0900,1500
259 Cafe,Perth,AU,5,0900,1500
259 Cafe,Perth,AU,4,1000,1500
259 Cafe,Perth,AU,3,1000,1500
259 Cafe,Perth,AU,2,1000,1500
259 Cafe,Perth,AU,0,1000,1500
26 grains,London,GB,6,1000,1600
26 grains,London,GB,5,1000,1600
26 grains,London,GB,4,0800,1700
26 grains,London,GB,3,0800,1800
26 grains,London,GB,2,0800,1800
26 grains,London,GB,1,0800,1800
26 grains,London,GB,0,0800,1800
2nd City,New York,US,6,1100,2300
2nd City,New York,US,5,1100,2300
2nd City,New York,US,4,1100,2300
2nd City,New York,US,3,1100,2300
2nd City,New York,US,2,1100,2300
2nd City,New York,US,1,1100,2300
2nd City,New York,US,0,1100,2300
3 Arts Club Cafe,Chicago,US,6,1100,1800
3 Arts Club Cafe,Chicago,US,5,1000,2000
3 Arts Club Cafe,Chicago,US,4,1000,2000
3 Arts Club Cafe,Chicago,US,3,1000,2000
3 Arts Club Cafe,Chicago,US,2,1000,2000
3 Arts Club Cafe,Chicago,US,1,1000,2000
3 Arts Club Cafe,Chicago,US,0,1000,2000
3 Bro's Kabab House,Houston,US,6,1100,2200
3 Bro's Kabab House,Houston,US,5,1100,2200
3 Bro's Kabab House,Houston,US,4,1400,2200
3 Bro's Kabab House,Houston,US,3,1100,2200
3 Bro's Kabab House,Houston,US,2,1100,2200
3 Bro's Kabab House,Houston,US,1,1100,2200
3 Bro's Kabab House,Houston,US,0,1100,2200
3 Greeks Grill,Long Island City,US,6,1100,2100
3 Greeks Grill,Long Island City,US,5,1100,2200
3 Greeks Grill,Long Island City,US,4,1100,2200
3 Greeks Grill,Long Island City,US,3,1100,2200
3 Greeks Grill,Long Island City,US,2,1100,2200
3 Greeks Grill,Long Island City,US,1,1100,2200
3 Greeks Grill,Long Island City,US,0,1100,2200
3 Wise Monkeys Pub,Sydney,AU,6,1000,0400
3 Wise Monkeys Pub,Sydney,AU,5,1000,0500
3 Wise Monkeys Pub,Sydney,AU,4,1000,0500
3 Wise Monkeys Pub,Sydney,AU,3,1000,0400
3 Wise Monkeys Pub,Sydney,AU,2,1000,0400
3 Wise Monkeys Pub,Sydney,AU,1,1000,0400
3 Wise Monkeys Pub,Sydney,AU,0,1000,0400
32 Shea,Phoenix,US,6,0700,1400
32 Shea,Phoenix,US,5,0700,2200
32 Shea,Phoenix,US,4,0600,2200
32 Shea,Phoenix,US,3,0600,2200
32 Shea,Phoenix,US,2,0600,2200
32 Shea,Phoenix,US,1,0600,2200
32 Shea,Phoenix,US,0,0600,2200
360 Bar and Restaurant,Sydney,AU,6,1630,0000
360 Bar and Restaurant,Sydney,AU,5,1630,0000
360 Bar and Restaurant,Sydney,AU,4,1630,0000
360 Bar and Restaurant,Sydney,AU,4,1200,1430
360 Bar and Restaurant,Sydney,AU,3,1630,2300
360 Bar and Restaurant,Sydney,AU,3,1200,1430
360 Bar and Restaurant,Sydney,AU,2,1630,2300
360 Bar and Restaurant,Sydney,AU,2,1200,1430
360 Bar and Restaurant,Sydney,AU,1,1630,2300
360 Bar and Restaurant,Sydney,AU,1,1200,1430
360 Bar and Restaurant,Sydney,AU,0,1630,2300
360 Bar and Restaurant,Sydney,AU,0,1200,1430
38 Espresso,Kingston,AU,6,0800,1500
38 Espresso,Kingston,AU,5,0700,1500
38 Espresso,Kingston,AU,4,0700,1500
38 Espresso,Kingston,AU,3,0700,1500
38 Espresso,Kingston,AU,2,0700,1500
38 Espresso,Kingston,AU,1,0700,1500
38 Espresso,Kingston,AU,0,0700,1500
+39 Pizzeria,Melbourne,AU,6,1200,2130
+39 Pizzeria,Melbourne,AU,5,1200,2200
+39 Pizzeria,Melbourne,AU,4,1200,2200
+39 Pizzeria,Melbourne,AU,3,1700,2130
+39 Pizzeria,Melbourne,AU,3,1200,1500
+39 Pizzeria,Melbourne,AU,2,1700,2130
+39 Pizzeria,Melbourne,AU,2,1200,1500
+39 Pizzeria,Melbourne,AU,1,1700,2130
+39 Pizzeria,Melbourne,AU,1,1200,1500
+39 Pizzeria,Melbourne,AU,0,1700,2130
+39 Pizzeria,Melbourne,AU,0,1200,1500
3rd Cousin,San Francisco,US,5,1730,2200
3rd Cousin,San Francisco,US,4,1730,2200
3rd Cousin,San Francisco,US,3,1730,2200
3rd Cousin,San Francisco,US,2,1730,2200
3rd Cousin,San Francisco,US,1,1730,2200
45 Jermyn St,London,GB,6,0800,1800
45 Jermyn St,London,GB,5,0800,2330
45 Jermyn St,London,GB,4,0700,2330
45 Jermyn St,London,GB,3,0700,2330
45 Jermyn St,London,GB,2,0700,2330
45 Jermyn St,London,GB,1,0700,2330
45 Jermyn St,London,GB,0,0700,2330
4Fourteen,Surry Hills,AU,6,1200,1800
4Fourteen,Surry Hills,AU,5,1800,0000
4Fourteen,Surry Hills,AU,5,1200,1500
4Fourteen,Surry Hills,AU,4,1800,0000
4Fourteen,Surry Hills,AU,4,1200,1500
4Fourteen,Surry Hills,AU,3,1800,0000
4Fourteen,Surry Hills,AU,3,1200,1500
4Fourteen,Surry Hills,AU,2,1800,0000
4Fourteen,Surry Hills,AU,2,1200,1500
4Fourteen,Surry Hills,AU,1,1800,0000
4Fourteen,Surry Hills,AU,1,1200,1500
5 & Dime Bagels,Melbourne,AU,4,0700,1430
5 & Dime Bagels,Melbourne,AU,3,0700,1430
5 & Dime Bagels,Melbourne,AU,2,0700,1430
5 & Dime Bagels,Melbourne,AU,1,0700,1430
5 & Dime Bagels,Melbourne,AU,0,0700,1430
5 Boroughs,Brisbane,AU,6,1100,2100
5 Boroughs,Brisbane,AU,5,1100,2200
5 Boroughs,Brisbane,AU,4,1100,2200
5 Boroughs,Brisbane,AU,3,1100,2100
5 Boroughs,Brisbane,AU,2,1100,2100
5 Boroughs,Brisbane,AU,1,1100,2100
5 Boroughs,Brisbane,AU,0,1100,2100
5 Rabanitos Restaurante and Taqueria,Chicago,US,6,0900,2100
5 Rabanitos Restaurante and Taqueria,Chicago,US,5,0900,2200
5 Rabanitos Restaurante and Taqueria,Chicago,US,4,1100,2200
5 Rabanitos Restaurante and Taqueria,Chicago,US,3,1100,2100
5 Rabanitos Restaurante and Taqueria,Chicago,US,2,1100,2100
5 Rabanitos Restaurante and Taqueria,Chicago,US,1,1100,2100
5 Spices House,Boston,US,6,1100,0000
5 Spices House,Boston,US,5,1100,0000
5 Spices House,Boston,US,4,1100,0000
5 Spices House,Boston,US,3,1100,2300
5 Spices House,Boston,US,2,1100,2300
5 Spices House,Boston,US,1,1100,2300
5 Spices House,Boston,US,0,1100,2300
5 Spot,Seattle,US,6,1700,0000
5 Spot,Seattle,US,6,0800,1500
5 Spot,Seattle,US,5,1700,0000
5 Spot,Seattle,US,5,0800,1500
5 Spot,Seattle,US,4,0800,2300
5 Spot,Seattle,US,3,0800,2300
5 Spot,Seattle,US,2,0800,2300
5 Spot,Seattle,US,1,0800,2300
5 Spot,Seattle,US,0,0800,2300
500 Degrees New York Style Pizzeria,Charlotte,US,5,1100,2200
500 Degrees New York Style Pizzeria,Charlotte,US,4,1100,2300
500 Degrees New York Style Pizzeria,Charlotte,US,3,1100,2100
500 Degrees New York Style Pizzeria,Charlotte,US,2,1100,2100
500 Degrees New York Style Pizzeria,Charlotte,US,1,1100,2100
500 Degrees New York Style Pizzeria,Charlotte,US,0,1100,2100
50's Diner Omelet House,Las Vegas,US,6,0700,1500
50's Diner Omelet House,Las Vegas,US,5,0700,2100
50's Diner Omelet House,Las Vegas,US,4,0700,2100
50's Diner Omelet House,Las Vegas,US,3,0700,2100
50's Diner Omelet House,Las Vegas,US,2,0700,2100
50's Diner Omelet House,Las Vegas,US,1,0700,2100
50's Diner Omelet House,Las Vegas,US,0,0700,2100
5280 Burger Bar,Denver,US,6,1100,2200
5280 Burger Bar,Denver,US,5,1100,2300
5280 Burger Bar,Denver,US,4,1100,2300
5280 Burger Bar,Denver,US,3,1100,2200
5280 Burger Bar,Denver,US,2,1100,2200
5280 Burger Bar,Denver,US,1,1100,2200
5280 Burger Bar,Denver,US,0,1100,2200
5280 Sliders,Denver,US,6,1400,2200
5280 Sliders,Denver,US,5,1400,0000
5280 Sliders,Denver,US,4,1500,0000
5280 Sliders,Denver,US,3,1500,2200
5280 Sliders,Denver,US,2,1500,2200
5280 Sliders,Denver,US,1,1500,2200
5280 Sliders,Denver,US,0,1500,2200
580 Bench,Melbourne,AU,4,0700,1600
580 Bench,Melbourne,AU,3,0700,1600
580 Bench,Melbourne,AU,2,0700,1600
580 Bench,Melbourne,AU,1,0700,1600
580 Bench,Melbourne,AU,0,0700,1600
5Church,Charlotte,US,6,1000,2200
5Church,Charlotte,US,5,1100,0200
5Church,Charlotte,US,4,1100,0200
5Church,Charlotte,US,3,1100,2300
5Church,Charlotte,US,2,1100,2200
5Church,Charlotte,US,1,1100,2200
5Church,Charlotte,US,0,1100,2200
62 Rokujuni,Sydney,AU,4,1800,2100
62 Rokujuni,Sydney,AU,4,1100,1500
62 Rokujuni,Sydney,AU,3,1800,2100
62 Rokujuni,Sydney,AU,3,1100,1500
62 Rokujuni,Sydney,AU,2,1800,2100
62 Rokujuni,Sydney,AU,2,1100,1500
62 Rokujuni,Sydney,AU,1,1800,2100
62 Rokujuni,Sydney,AU,1,1100,1500
62 Rokujuni,Sydney,AU,0,1800,2100
62 Rokujuni,Sydney,AU,0,1100,1500
678 Korean Bbq,Sydney,AU,6,1100,0000
678 Korean Bbq,Sydney,AU,5,1100,0000
678 Korean Bbq,Sydney,AU,4,1100,0000
678 Korean Bbq,Sydney,AU,3,1100,0000
678 Korean Bbq,Sydney,AU,2,1100,0000
678 Korean Bbq,Sydney,AU,1,1100,0000
678 Korean Bbq,Sydney,AU,0,1100,0000
6th Avenue Eats,Seattle,US,4,1100,1400
6th Avenue Eats,Seattle,US,3,1100,1400
6th Avenue Eats,Seattle,US,2,1100,1400
6th Avenue Eats,Seattle,US,1,1100,1400
6th Avenue Eats,Seattle,US,0,1100,1400
7 Leguas Mexican Grille,Denver,US,6,0900,2200
7 Leguas Mexican Grille,Denver,US,5,1000,0000
7 Leguas Mexican Grille,Denver,US,4,1000,0000
7 Leguas Mexican Grille,Denver,US,3,1000,2200
7 Leguas Mexican Grille,Denver,US,2,1000,2200
7 Leguas Mexican Grille,Denver,US,1,1000,2200
7 Leguas Mexican Grille,Denver,US,0,1000,2200
7 Leguas Mexican Grille,Denver,US,6,0900,2200
7 Leguas Mexican Grille,Denver,US,5,0900,0200
7 Leguas Mexican Grille,Denver,US,4,1000,0200
7 Leguas Mexican Grille,Denver,US,3,1000,2200
7 Leguas Mexican Grille,Denver,US,2,1000,2200
7 Leguas Mexican Grille,Denver,US,1,1000,2200
7 Leguas Mexican Grille,Denver,US,0,1000,2200
75 on Liberty Wharf,Boston,US,6,1000,0000
75 on Liberty Wharf,Boston,US,5,1030,0200
75 on Liberty Wharf,Boston,US,4,1130,0200
75 on Liberty Wharf,Boston,US,3,1130,0000
75 on Liberty Wharf,Boston,US,2,1130,0000
75 on Liberty Wharf,Boston,US,1,1130,0000
75 on Liberty Wharf,Boston,US,0,1130,0000
7th & Bake Patisserie Cafe,Canberra,AU,6,0730,1700
7th & Bake Patisserie Cafe,Canberra,AU,5,0730,1700
7th & Bake Patisserie Cafe,Canberra,AU,4,0630,1600
7th & Bake Patisserie Cafe,Canberra,AU,3,0630,1600
7th & Bake Patisserie Cafe,Canberra,AU,2,0630,1600
7th & Bake Patisserie Cafe,Canberra,AU,1,0630,1600
7th & Bake Patisserie Cafe,Canberra,AU,0,0630,1600
7th District,Charlotte,US,6,1100,1600
7th District,Charlotte,US,5,1400,0200
7th District,Charlotte,US,4,1600,0200
7th District,Charlotte,US,3,1600,2300
7th District,Charlotte,US,2,1600,2300
7th District,Charlotte,US,1,1600,2300
7th District,Charlotte,US,0,1600,2300
8 Hoxton Square,London,GB,6,1000,1700
8 Hoxton Square,London,GB,5,1000,2300
8 Hoxton Square,London,GB,4,1200,2300
8 Hoxton Square,London,GB,3,1200,2300
8 Hoxton Square,London,GB,2,1200,2300
8 Hoxton Square,London,GB,1,1200,2300
8 Hoxton Square,London,GB,0,1200,2300
800 Degrees,Las Vegas,US,6,1100,0200
800 Degrees,Las Vegas,US,5,1100,0200
800 Degrees,Las Vegas,US,4,1100,0200
800 Degrees,Las Vegas,US,3,1100,0200
800 Degrees,Las Vegas,US,2,1100,0200
800 Degrees,Las Vegas,US,1,1100,0200
800 Degrees,Las Vegas,US,0,1100,0200
888 Chinese Restaurant,Houston,US,6,1100,0000
888 Chinese Restaurant,Houston,US,5,1100,0000
888 Chinese Restaurant,Houston,US,4,1000,2300
888 Chinese Restaurant,Houston,US,3,1000,2300
888 Chinese Restaurant,Houston,US,2,1000,2300
888 Chinese Restaurant,Houston,US,1,1000,2300
888 Chinese Restaurant,Houston,US,0,1000,2300
8Bit,Melbourne,AU,6,1100,2300
8Bit,Melbourne,AU,5,1100,2300
8Bit,Melbourne,AU,4,1100,2300
8Bit,Melbourne,AU,3,1100,2300
8Bit,Melbourne,AU,2,1100,2300
8Bit,Melbourne,AU,1,1100,2300
8Bit,Melbourne,AU,0,1100,2300
8Elements Perfect Indian Cuisine,San Jose,US,6,1130,2200
8Elements Perfect Indian Cuisine,San Jose,US,5,1130,2230
8Elements Perfect Indian Cuisine,San Jose,US,4,1130,2230
8Elements Perfect Indian Cuisine,San Jose,US,3,1130,2200
8Elements Perfect Indian Cuisine,San Jose,US,2,1130,2200
8Elements Perfect Indian Cuisine,San Jose,US,1,1130,2200
8Elements Perfect Indian Cuisine,San Jose,US,0,1130,2200
8oz Burger & Co,Seattle,US,6,1130,2200
8oz Burger & Co,Seattle,US,5,1130,0000
8oz Burger & Co,Seattle,US,4,1130,0000
8oz Burger & Co,Seattle,US,3,1130,2300
8oz Burger & Co,Seattle,US,2,1130,2300
8oz Burger & Co,Seattle,US,1,1130,2300
8oz Burger & Co,Seattle,US,0,1130,2300
90 Miles Cuban Café,Chicago,US,6,0800,2100
90 Miles Cuban Café,Chicago,US,5,0800,2100
90 Miles Cuban Café,Chicago,US,4,0800,2100
90 Miles Cuban Café,Chicago,US,3,0800,2100
90 Miles Cuban Café,Chicago,US,2,0800,2100
90 Miles Cuban Café,Chicago,US,1,0800,2100
90 Miles Cuban Café,Chicago,US,0,0800,2100
90 Miles Cuban Café,Chicago,US,6,1000,2200
90 Miles Cuban Café,Chicago,US,5,1000,2300
90 Miles Cuban Café,Chicago,US,4,1000,2300
90 Miles Cuban Café,Chicago,US,3,1000,2200
90 Miles Cuban Café,Chicago,US,2,1000,2200
90 Miles Cuban Café,Chicago,US,1,1000,2200
90 Miles Cuban Café,Chicago,US,0,1000,2200
90 Secondi,Melbourne,AU,5,1800,0000
90 Secondi,Melbourne,AU,4,0730,0000
90 Secondi,Melbourne,AU,3,0730,0000
90 Secondi,Melbourne,AU,2,0730,1700
90 Secondi,Melbourne,AU,1,0730,1700
90 Secondi,Melbourne,AU,0,0730,1700
A 2nd Cup,Houston,US,6,0700,1700
A 2nd Cup,Houston,US,5,0700,2200
A 2nd Cup,Houston,US,4,0700,2200
A 2nd Cup,Houston,US,3,0700,2200
A 2nd Cup,Houston,US,2,0700,2200
A 2nd Cup,Houston,US,1,0700,2200
A 2nd Cup,Houston,US,0,0700,2200
A Baked Joint,Washington,US,6,0800,2000
A Baked Joint,Washington,US,5,0800,2000
A Baked Joint,Washington,US,4,0700,2100
A Baked Joint,Washington,US,3,0700,2000
A Baked Joint,Washington,US,2,0700,2000
A Baked Joint,Washington,US,1,0700,2100
A Baked Joint,Washington,US,0,0700,2000
A Bite of Wyoming,San Jose,US,6,0700,1400
A Bite of Wyoming,San Jose,US,5,0600,1400
A Bite of Wyoming,San Jose,US,4,0530,1400
A Bite of Wyoming,San Jose,US,3,0530,1400
A Bite of Wyoming,San Jose,US,2,0530,1400
A Bite of Wyoming,San Jose,US,1,0530,1400
A Bite of Wyoming,San Jose,US,0,0530,1400
A Fish Called Inglewood,Inglewood,AU,6,1700,0000
A Fish Called Inglewood,Inglewood,AU,5,1700,0000
A Fish Called Inglewood,Inglewood,AU,4,1700,0000
A Fish Called Inglewood,Inglewood,AU,3,1700,0000
A Fish Called Inglewood,Inglewood,AU,2,1700,0000
A Fish Called Inglewood,Inglewood,AU,1,1700,0000
A Slice of New York,San Jose,US,6,1230,0000
A Slice of New York,San Jose,US,5,1100,0000
A Slice of New York,San Jose,US,4,1100,0000
A Slice of New York,San Jose,US,3,1100,0000
A Slice of New York,San Jose,US,2,1100,0000
A Slice of New York,San Jose,US,1,1100,0000
A25,Melbourne,AU,5,0730,2200
A25,Melbourne,AU,4,0730,2200
A25,Melbourne,AU,3,0730,2200
A25,Melbourne,AU,2,0730,2200
A25,Melbourne,AU,1,0730,2200
A25,Melbourne,AU,0,0730,2200
Aamaya Indian Restaurant,Brisbane,AU,6,1100,2130
Aamaya Indian Restaurant,Brisbane,AU,5,1100,2130
Aamaya Indian Restaurant,Brisbane,AU,4,1700,2130
Aamaya Indian Restaurant,Brisbane,AU,4,1100,1430
Aamaya Indian Restaurant,Brisbane,AU,3,1700,2130
Aamaya Indian Restaurant,Brisbane,AU,3,1100,1430
Aamaya Indian Restaurant,Brisbane,AU,2,1700,2130
Aamaya Indian Restaurant,Brisbane,AU,2,1100,1430
Aamaya Indian Restaurant,Brisbane,AU,1,1700,2130
Aamaya Indian Restaurant,Brisbane,AU,1,1100,1430
Aamaya Indian Restaurant,Brisbane,AU,0,1100,2130
Abb Air,Sydney,AU,6,1100,0100
Abb Air,Sydney,AU,5,1100,0100
Abb Air,Sydney,AU,4,1100,0100
Abb Air,Sydney,AU,3,1100,0100
Abb Air,Sydney,AU,2,1100,0100
Abb Air,Sydney,AU,1,1100,0100
Abb Air,Sydney,AU,0,1100,0100
Abby Lane Food & Spirits,Boston,US,6,1130,0200
Abby Lane Food & Spirits,Boston,US,5,1130,0200
Abby Lane Food & Spirits,Boston,US,4,1130,0200
Abby Lane Food & Spirits,Boston,US,3,1130,0200
Abby Lane Food & Spirits,Boston,US,2,1130,0200
Abby Lane Food & Spirits,Boston,US,1,1130,0200
Abby Lane Food & Spirits,Boston,US,0,1130,0200
ABC Kitchen,New York,US,6,1730,2200
ABC Kitchen,New York,US,6,1100,1500
ABC Kitchen,New York,US,5,1730,2330
ABC Kitchen,New York,US,5,1100,1500
ABC Kitchen,New York,US,4,1730,2330
ABC Kitchen,New York,US,4,1200,1500
